x,y,z
-2.271173701,5.12826152,0.78443
-2.142673701,5.12456152,0.79534
-2.023773701,5.14546152,0.80745
-1.887773701,5.15256152,0.81981
-1.764773701,5.14816152,0.82999
-1.631013701,5.15636152,0.8421
-1.671343701,5.23526152,0.07071
-1.504663701,5.15866152,0.853
-2.279173701,5.07706152,0.86282
-1.545353701,5.23636152,0.08571
-1.386913701,5.15346152,0.86245
-2.130573701,5.09296152,0.87646
-1.458003701,5.19876152,0.09138
-1.280183701,5.17016152,0.87287
-2.005673701,5.11946152,0.88895
-1.461403701,5.09846152,0.07871
-1.171203701,5.15826152,0.88087
-1.872273701,5.12386152,0.90028
-2.430573701,5.10606152,0.41175
-1.055773701,5.15456152,0.89008
-1.758673701,5.10966152,0.90838
-2.254973701,5.14646152,0.4343
-0.203163701,5.15816152,0.15779
-0.964583701,5.12536152,0.89492
-1.631573701,5.11076152,0.91878
-2.102873701,5.16636152,0.45222
-0.072443701,5.18566152,0.17598
-1.550173701,5.06566152,0.92156
-2.423173701,5.02176152,0.9051
-2.029873701,5.10946152,0.45395
0.030346299,5.18066152,0.18663
-1.401753701,5.09196152,0.93566
-2.259873701,5.05056152,0.92052
-1.825773701,5.18526152,0.48285
0.143926299,5.19036152,0.20036
-0.820013701,5.14646152,0.15804
-1.296003701,5.10716152,0.94537
-2.158673701,5.05266152,0.92879
-1.733173701,5.18286152,0.4921
0.230036299,5.19986152,0.211
-0.704903701,5.17886152,0.17504
-1.672983701,5.31326152,0.18191
-2.038673701,5.04196152,0.93751
-1.762273701,5.02316152,0.47245
-2.418673701,5.13396152,0.49101
0.323436299,5.18656152,0.21925
-0.562593701,5.21146152,0.19504
-1.679593701,5.17856152,0.16562
-1.921773701,5.02946152,0.94578
-1.467103701,5.20046152,0.521
-2.242773701,5.17406152,0.51278
0.428696299,5.18966152,0.23092
-0.457113701,5.20366152,0.20571
-1.522023701,5.21266152,0.18735
-1.803673701,5.01946152,0.95427
-1.332123701,5.21396152,0.53603
-2.083373701,5.20076152,0.53149
0.532396299,5.19206152,0.24225
